,max,average,median
canny,657,270.48806057076297,148.0
canoe,174,65.58823529411765,46.0
canon,546,221.31158998252766,161.0
caper,242,82.66220151426907,63.0
caput,357,130.0215492137449,102.0
carat,607,210.37216074548633,102.0
cargo,286,106.18229470005824,79.0
carol,218,74.79615608619686,67.0
carry,657,247.899242865463,172.0
carve,289,97.35993011065813,80.0
caste,188,64.31275480489225,42.0
catch,643,274.5824111822947,186.0
cater,202,63.44612696563774,47.0
catty,657,263.114735002912,172.0
caulk,412,154.24519510774607,110.0
cause,186,71.21665695981363,48.0
cavil,377,142.8567268491555,100.0
cease,581,180.08503203261503,91.0
cedar,239,84.59813628421665,52.0
cello,471,204.7483983692487,146.0
chafe,298,124.09260337798486,78.0
chaff,721,354.21141525917295,327.0
chain,336,121.85963890506697,92.0
chair,265,97.45544554455445,54.0
chalk,477,185.37973209085615,81.0
champ,517,215.29470005824112,99.0
chant,359,121.89574839836925,60.0
chaos,322,121.35876528829354,90.0
chard,346,130.7146185206756,77.0
charm,380,150.2976121141526,87.0
chart,319,111.48806057076295,55.0
chase,227,88.11589982527664,53.0
chasm,433,166.9114735002912,80.0
cheap,276,132.3931275480489,134.0
cheat,242,105.07454863133373,54.0
check,673,388.5958066394875,548.0
cheek,1099,477.4915550378567,294.0
cheer,752,280.3214909726267,120.0
chess,623,294.38031450203846,144.0
chest,317,129.93069306930693,50.0
chick,921,470.81945253348863,247.0
chide,323,125.02562609202097,71.0
chief,358,151.592894583576,127.0
child,465,171.39138031450204,72.0
chili,819,346.1642399534071,146.0
chill,840,345.980198019802,194.0
chime,329,132.92079207920793,74.0
china,336,134.24752475247524,71.0
chirp,415,162.08211997670355,84.0
chock,923,477.0972626674432,269.0
choir,335,117.34478741991846,58.0
choke,340,152.61094933022713,154.0
chord,441,164.84857309260337,65.0
chore,277,96.85905649388468,94.0
chose,256,104.80780430984275,51.0
chuck,1038,570.6622015142691,1038.0
chump,683,310.8427489807804,123.0
chunk,636,279.3634245777519,130.0
churn,393,154.54222481071636,88.0
chute,339,127.86662783925452,83.0
cider,258,96.01223063482819,60.0
cigar,272,102.95806639487478,65.0
cinch,774,342.4135119394292,191.0
circa,399,187.185789167152,169.0
civic,1604,930.140361094933,1604.0
civil,904,416.3849737914968,292.0
clack,716,319.08211997670355,183.0
claim,340,123.42632498543972,78.0
clamp,448,167.9866045428072,82.0
clang,368,128.16715200931858,71.0
clank,402,146.47466511357018,82.0
clash,339,117.11881188118812,53.0
clasp,347,119.99359347699476,58.0
class,620,222.54688410017474,158.0
clean,212,81.1421083284799,60.0
clear,200,68.62026790914386,57.0
cleat,189,74.27781013395457,50.0
cleft,299,124.50262085032033,96.0
clerk,301,119.83284799068142,118.0
click,798,365.9767035527082,206.0
cliff,697,325.3838089691322,166.0
climb,514,203.57309260337797,99.0
cling,432,156.36983110075712,80.0
clink,465,175.89574839836925,111.0
cloak,353,140.33255678509028,80.0
clock,772,356.24985439720444,241.0
clone,219,76.7041351193943,51.0
close,189,71.87012230634828,44.0
cloth,381,135.5824111822947,67.0
cloud,412,148.6167734420501,77.0
clout,334,113.25626092020967,71.0
clove,308,119.95748398369248,74.0
clown,430,164.98252766453115,117.0
cluck,876,429.2294700058241,273.0
clued,317,111.4181712288876,72.0
clump,558,232.61211415259174,97.0
clung,471,182.51776354106,88.0
coach,560,244.34711706464765,183.0
coast,252,81.54746651135702,48.0
cobra,308,124.14851485148515,82.0
cocoa,1051,526.1974373907979,619.0
colon,685,273.18986604542806,122.0
color,553,222.40943506115318,115.0
comet,260,99.76645311589982,60.0
comfy,599,261.54164239953406,149.0
comic,712,322.3640069889342,211.0
comma,546,278.41584158415844,170.0
conch,772,341.1525917297612,174.0
condo,836,361.96039603960395,152.0
conic,643,261.18637157833433,139.0
copse,245,99.6359930110658,75.0
coral,218,80.43739079790332,61.0
corer,471,187.37157833430402,102.0
corny,324,117.7582993593477,68.0
couch,785,361.44496214327313,171.0
cough,549,219.71054164239953,96.0
could,412,146.86488060570764,75.0
count,389,130.1997670355271,70.0
coupe,269,114.49213744903902,73.0
court,321,108.5061153174141,64.0
coven,328,135.94816540477578,99.0
cover,321,124.08211997670355,80.0
covet,303,117.53348864298195,70.0
covey,288,144.71927781013395,144.0
cower,309,117.6488060570763,74.0
coyly,676,282.46359930110657,188.0
crack,606,267.8479906814211,249.0
craft,337,114.53640069889342,65.0
cramp,391,143.97495631916132,75.0
crane,207,60.304601048340125,41.0
crank,349,126.39895165987187,76.0
crash,296,102.88468258590565,72.0
crass,540,191.70180547466512,110.0
crate,202,58.120559114735,36.0
crave,289,96.26849155503785,61.0
crawl,312,114.06814210832847,70.0
craze,291,104.05765870704718,72.0
crazy,382,157.07338380896914,136.0
creak,266,106.47815958066396,67.0
cream,247,93.58940011648224,51.0
credo,288,106.41409435061153,57.0
creed,736,268.6575422248107,131.0
creek,812,318.63133372160746,191.0
creep,751,277.08095515433894,122.0
creme,759,278.4577751892836,152.0
crepe,751,274.7949912638323,155.0
crept,276,101.04659289458358,58.0
cress,510,192.02446126965637,135.0
crest,219,76.07396622015143,40.0
crick,677,307.44554455445547,202.0
cried,258,91.6930693069307,67.0
crier,483,179.41467676179383,98.0
crime,250,88.46651135701805,67.0
crimp,429,164.69598136284216,82.0
crisp,333,118.45602795573674,66.0
croak,314,123.94117647058823,84.0
crock,712,320.5090273733256,205.0
crone,229,73.30401863715784,43.0
crony,324,113.175888177053,68.0
crook,812,356.35061153174144,165.0
cross,640,233.99417588817704,168.0
croup,403,146.01456027955737,73.0
